sepal length,sepal width,petal length,petal width,species
5.1,3.5,,0.2,Iris-setosa
4.9,3.0,,0.2,Iris-setosa
4.7,3.2,,0.2,Iris-setosa
4.6,3.1,,0.2,Iris-setosa
5.0,3.6,,0.2,Iris-setosa
5.4,3.9,,0.4,Iris-setosa
4.6,3.4,,0.3,Iris-setosa
5.0,3.4,,0.2,Iris-setosa
4.4,2.9,,0.2,Iris-setosa
4.9,3.1,,0.1,Iris-setosa
5.4,3.7,,0.2,Iris-setosa
4.8,3.4,,0.2,Iris-setosa
4.8,3.0,,0.1,Iris-setosa
4.3,3.0,,0.1,Iris-setosa
5.8,4.0,,0.2,Iris-setosa
5.7,4.4,,0.4,Iris-setosa
7.0,3.2,1,1.4,Iris-versicolor
6.4,3.2,1,1.5,Iris-versicolor
6.9,3.1,1,1.5,Iris-versicolor
5.5,2.3,1,1.3,Iris-versicolor
6.5,2.8,1,1.5,Iris-versicolor
5.7,2.8,1,1.3,Iris-versicolor
6.3,3.3,1,1.6,Iris-versicolor
4.9,2.4,3.3,1.0,Iris-versicolor
6.6,2.9,4.6,1.3,Iris-versicolor
5.2,2.7,3.9,1.4,Iris-versicolor
5.0,2.0,3.5,1.0,Iris-versicolor
5.9,3.0,4.2,1.5,Iris-versicolor
6.0,2.2,4.0,1.0,Iris-versicolor
6.1,2.9,4.7,1.4,Iris-versicolor
6.4,2.7,5.3,1.9,Iris-virginica
6.8,3.0,5.5,2.1,Iris-virginica
5.7,2.5,5.0,2.0,Iris-virginica
5.8,2.8,5.1,2.4,Iris-virginica
6.4,3.2,5.3,2.3,Iris-virginica
6.5,3.0,5.5,1.8,Iris-virginica
7.7,3.8,6.7,2.2,Iris-virginica
7.7,2.6,6.9,2.3,Iris-virginica
6.0,2.2,5.0,1.5,Iris-virginica
6.9,3.2,5.7,2.3,Iris-virginica
5.6,2.8,4.9,2.0,Iris-virginica
7.7,2.8,6.7,2.0,Iris-virginica
6.3,2.7,4.9,1.8,Iris-virginica
6.7,3.3,5.7,2.1,Iris-virginica
7.2,3.2,6.0,1.8,Iris-virginica
6.2,2.8,4.8,1.8,Iris-virginica
6.1,3.0,4.9,1.8,Iris-virginica
